Source File,Page,Has_Text,Has_Order_Header,Used_OCR
108.pdf,55,True,True,False
108.pdf,56,True,True,False
108.pdf,57,True,True,False
108.pdf,58,True,True,False
108.pdf,59,True,True,False
108.pdf,60,True,True,False
108.pdf,61,True,True,False
108.pdf,62,True,True,False
108.pdf,63,True,True,False
108.pdf,64,True,True,False
108.pdf,65,True,True,False
108.pdf,66,True,True,False
108.pdf,67,True,True,False
108.pdf,68,True,True,False
108.pdf,69,True,True,False
108.pdf,70,True,True,False
108.pdf,71,True,True,False
108.pdf,72,True,True,False
108.pdf,73,True,True,False
108.pdf,74,True,True,False
108.pdf,75,True,True,False
108.pdf,76,True,True,False
108.pdf,77,True,True,False
108.pdf,78,True,True,False
108.pdf,79,True,True,False
108.pdf,80,True,True,False
109.pdf,1,True,True,False
109.pdf,2,True,True,False
109.pdf,3,True,True,False
109.pdf,4,True,True,False
109.pdf,5,True,True,False
109.pdf,6,True,True,False
109.pdf,7,True,True,False
109.pdf,8,True,True,False
109.pdf,9,True,True,False
109.pdf,10,True,True,False
109.pdf,11,True,True,False
109.pdf,12,True,True,False
109.pdf,13,True,True,False
109.pdf,14,True,True,False
109.pdf,15,True,True,False
109.pdf,16,True,True,False
109.pdf,17,True,True,False
109.pdf,18,True,True,False
109.pdf,19,True,True,False
109.pdf,20,True,True,False
109.pdf,21,True,True,False
109.pdf,22,True,True,False
109.pdf,23,True,True,False
109.pdf,24,True,True,False
109.pdf,25,True,True,False
109.pdf,26,True,True,False
109.pdf,27,True,True,False
109.pdf,28,True,True,False
109.pdf,29,True,True,False
109.pdf,30,True,True,False
109.pdf,31,True,True,False
109.pdf,32,True,True,False
109.pdf,33,True,True,False
109.pdf,34,True,True,False
109.pdf,35,True,True,False
109.pdf,36,True,True,False
109.pdf,37,True,True,False
109.pdf,38,True,True,False
109.pdf,39,True,True,False
109.pdf,40,True,True,False
109.pdf,41,True,True,False
109.pdf,42,True,True,False
109.pdf,43,True,True,False
109.pdf,44,True,True,False
109.pdf,45,True,True,False
109.pdf,46,True,True,False
109.pdf,47,True,True,False
109.pdf,48,True,True,False
109.pdf,49,True,True,False
109.pdf,50,True,True,False
109.pdf,51,True,True,False
109.pdf,52,True,True,False
109.pdf,53,True,True,False
109.pdf,54,True,True,False
109.pdf,55,True,True,False
109.pdf,56,True,True,False
109.pdf,57,True,False,True
109.pdf,58,True,True,False
109.pdf,59,True,True,False
109.pdf,60,True,True,False
109.pdf,61,True,True,False
109.pdf,62,True,True,False
109.pdf,63,True,True,False
109.pdf,64,True,True,False
109.pdf,65,True,True,False
109.pdf,66,True,True,False
109.pdf,67,True,True,False
109.pdf,68,True,True,False
109.pdf,69,True,True,False
109.pdf,70,True,True,False
109.pdf,71,True,True,False
109.pdf,72,True,False,True
109.pdf,73,True,True,False
109.pdf,74,True,True,False
109.pdf,75,True,True,False
109.pdf,76,True,True,False
109.pdf,77,True,True,False
109.pdf,78,True,True,False
109.pdf,79,True,True,False
109.pdf,80,True,True,False
109.pdf,81,True,True,False
109.pdf,82,True,True,False
11.pdf,1,True,True,False
11.pdf,2,True,True,False
11.pdf,3,True,True,False
11.pdf,4,True,True,False
11.pdf,5,True,True,False
11.pdf,6,True,True,False
11.pdf,7,True,True,False
11.pdf,8,True,True,False
11.pdf,9,True,True,False
11.pdf,10,True,True,False
